Time (UTC),Relative Time (s),Observer Longitude,Observer Latitude,Observer Altitude,Observer ECI X,Observer ECI Y,Observer ECI Z,Direction Vector X,Direction Vector Y,Direction Vector Z,Distance (km),Elevation (deg),Azimuth (deg),Satellite ECI X,Satellite ECI Y,Satellite ECI Z,Satellite Velocity X (km/s),Satellite Velocity Y (km/s),Satellite Velocity Z (km/s)
2024-04-19 04:16:16,976.0,109.494,34.445,0.557,4886.77112035473,1930.929976171835,3603.847395303668,0.8298667968601054,-0.3684968082435554,0.4189644397600601,39084.17862082518,24.769225495053703,113.94329438216111,13102.67749143961,40052.2087791955,988.5073814101022,-2.92114557953351,0.9571327564890512,-0.0979919154823729
2024-04-19 04:16:17,977.0,109.494,34.445,0.557,4886.630686242559,1931.285347090005,3603.847395303668,0.8298667879930394,-0.3684987005093517,0.41896279298887,39084.1875704416,24.76912158236101,113.94340373782931,13099.756326841904,40053.16580018389,988.40938739588,-2.921215302488501,0.956919601349914,-0.0979971759280188
2024-04-19 04:16:18,978.0,109.494,34.445,0.557,4886.490226287458,1931.640707794574,3603.847395303668,0.8298667791103931,-0.3685005928821635,0.4189611461393955,39084.19652059108,24.76901766481544,113.9435130998852,13096.835092529343,40054.122608015765,988.3113881214996,-2.921285009901537,0.9567064411050956,-0.0980024358524628
2024-04-19 04:16:19,979.0,109.494,34.445,0.557,4886.349740490168,1931.9960582836716,3603.847395303668,0.8298667702121654,-0.3685024853619806,0.4189594992116451,39084.205471273584,24.76891374241757,113.94362246832804,13093.913788517468,40055.07920268602,988.213383587482,-2.9213547017722488,0.9564932757557316,-0.098007695255677
2024-04-19 04:16:20,980.0,109.494,34.445,0.557,4886.209228851434,1932.351398555409,3603.847395303668,0.8298667612983553,-0.3685043779487921,0.4189578522056272,39084.214422489065,24.76880981516795,113.94373184315732,13090.992414821943,40056.03558418952,988.1153737943532,-2.9214243781002565,0.9562801053029656,-0.098012954137633
2024-04-19 04:16:21,981.0,109.494,34.445,0.557,4886.068691371998,1932.7067286079173,3603.847395303668,0.8298667523689635,-0.3685062706425868,0.4189562051213489,39084.22337423745,24.768705883067025,113.9438412243723,13088.070971458235,40056.991752521135,988.0173587426312,-2.9214940388851915,0.9560669297479272,-0.0980182124983028
2024-04-19 04:16:22,982.0,109.494,34.445,0.557,4885.9281280526,1933.062048439312,3603.847395303668,0.8298667434239904,-0.3685081634433531,0.4189545579588173,39084.23232651875,24.76860194611525,113.9439506119723,13085.149458441889,40057.94770767583,987.9193384328372,-2.92156368412668,0.9558537490917506,-0.0980234703376585
2024-04-19 04:16:23,983.0,109.494,34.445,0.557,4885.78753889399,1933.4173580477093,3603.847395303668,0.829866736206258,-0.3685100549335965,0.4189529085126522,39084.24129245125,24.768497865152007,113.94405987957816,13082.227758241936,40058.9034880969,987.8213089214888,-2.921633316625472,0.955640554758287,-0.0980287278671809
2024-04-19 04:16:24,984.0,109.494,34.445,0.557,4885.646923896908,1933.7726574312355,3603.847395303668,0.8298667272301218,-0.3685119479482748,0.4189512611936319,39084.25024579825,24.76839391849984,113.94416927994628,13079.3061059641,40059.85901687383,987.7232780969032,-2.921702930778324,0.955427363903031,-0.098033984663803
2024-04-19 04:16:25,985.0,109.494,34.445,0.557,4885.506283062096,1934.1279465880157,3603.847395303668,0.8298667182384032,-0.3685138410698917,0.4189496137963814,39084.259199678025,24.768289966998324,113.94427868669749,13076.384384080293,40060.814332458496,987.6252420158112,-2.92177252938661,0.955214167950044,-0.0980392409390266
2024-04-19 04:16:26,986.0,109.494,34.445,0.557,4885.365616390297,1934.4832255161652,3603.847395303668,0.8298667092311033,-0.3685157342984355,0.4189479663209076,39084.26815409054,24.768186010647906,113.94438809983096,13073.462592606056,40061.769434845824,987.5272006787342,-2.921842112449957,0.9550009669004612,-0.0980444966928237
2024-04-19 04:16:27,987.0,109.494,34.445,0.557,4885.2249238822615,1934.838494213803,3603.847395303668,0.8298667002082226,-0.3685176276338942,0.4189463187672169,39084.27710903576,24.768082049449003,113.9444975193461,13070.540731556915,40062.724324030685,987.4291540861929,-2.9219116799679945,0.954787760755416,-0.0980497519251663
2024-04-19 04:16:28,988.0,109.494,34.445,0.557,4885.084205538726,1935.193752679057,3603.847395303668,0.8298666911697612,-0.3685195210762565,0.4189446711353165,39084.28606451363,24.767978083402088,113.94460694524209,13067.618800948345,40063.67900000805,987.331102238706,-2.921981231940351,0.954574549516038,-0.0980550066360264
2024-04-19 04:16:29,989.0,109.494,34.445,0.557,4884.943461360441,1935.5490009100408,3603.847395303668,0.8298666821157196,-0.3685214146255112,0.418943023425214,39084.29502052415,24.767874112507634,113.94471637751838,13064.696800795957,40064.63346277277,987.2330451367982,-2.922050768366652,0.9543613331834672,-0.0980602608253758
